MasterID,OldCaseID,CaseID,AttackID,Status,AttackDate,AttackYear,AttackMonth,AttackQuarter,DayOfWeek,Database,Campaign,Country,Province,District,City,Latitude,Longitude,Suicide,ModeGroup,Claimed,ClaimGroup,ClaimGrouping,ctAimPoints,TT1,TT2,TT3,TT4,tgtDisp,tgtMobile,AttackType,AttackType2,ComplexAttack,LeaderRank,LeaderKilled,CivKilledHi,PolKilledHi,SecKilledHi,KilledHi,Suspected,SuspectGroup,SuspectGrouping,Denied,DeniedGroup,DeniedGrouping,Summary,LastUpdate,attribGrouping,attribProbability,attribConfidence,attribBasis,AttribTable,tgtDisp2,CaseAttacks,CaseAttacks_Criteria,CoinPhase,SecGrouping,CivGrouping,DecapLogic,Decap,DecapGrouping,PolGrouping,AreaEthnicity,InEthnGroup,InEthnGroupPct,Control_Incum,Control_Ins,HomeTerr_Ins,Source,tgtGrouping,SuicideText,CaseText,tgtGrouping2,CoinPhaseName,ControlGrouping,Control_Iraq,Ethnicity_Bagh
1,1171,AF-W-01124,200695731,Unverified,10/3/2006 0:00,2006,10,4,3,WITS,Afghanistan,Afghanistan,Balkh,Chahar Bolak,Char Bolagh,36.77,66.7,0,Other,0,Unknown Group,NA,1,Civilian,Religious,Afghan,Facility/Building,School (Religious),0,Arson,Arson,,NA,NA,0,0,0,0,0,NA,NA,0,NA,NA,"On 3 October 2006, at night, in Char Bolagh, Balkh, Afghanistan, assailants set fire to a religious  elementary school, damaging several classrooms but causing no injuries.  The school was located near a mosque.  No group claimed responsibility.",,Afghan Taliban,-9999,,Attributed,NA,Civilian Facility,1,NA,2,NA,Ingroup,NA,No,NA,NA,Pashtun,Pashtuns,0.65,-9999,-9999,1,,Kindred Civilians,No,Yes,Kindred,Hearts and Minds,Institutions,,
2,1172,AF-W-00696,200699161,Unverified,4/22/2006 0:00,2006,4,2,7,WITS,Afghanistan,Afghanistan,Balkh,Chahar Bolak,Char Bolagh,36.77,66.7,0,Other,0,Unknown Group,NA,1,Political,Domestic,Afghan,Leader,Home,0,Armed Assault,DF,,Political Leader,No,0,0,0,0,0,NA,NA,0,NA,NA,"On 22 April 2006, in Char Bolagh, Balkh, Afghanistan, assailants detonated two explosive devices at the home of a political leader, causing minor damage to the house but no injuries.  No group claimed responsibility.",,Afghan Taliban,-9999,,Attributed,NA,Home,1,NA,2,NA,NA,NA,No,NA,Unknown,Pashtun,Pashtuns,0.65,-9999,-9999,1,,National Political,No,Yes,Government,Hearts and Minds,NA,,
3,1173,AF-W-00915,200699310,Unverified,7/10/2006 0:00,2006,7,3,2,WITS,Afghanistan,Afghanistan,Balkh,Chahar Bolak,Char Bolagh,36.77,66.7,0,Other,0,Unknown Group,NA,1,Security,Civilian Support,Nato,Facility/Building,Government Facility,0,Projectile,IDF,,NA,NA,0,0,0,0,1,Taliban (IEA),Afghan Taliban,0,NA,NA,"On 10 July 2006, at about 3:00 AM, in Char Bolagh, Balkh, Afghanistan, assailants fired a mortar upon a South Korean road construction company's camp but missed their target, causing no injuries or damage.  No group claimed responsibility, although it was widely believed the Taliban was responsible.",,Afghan Taliban,-9999,,Suspected,NA,Government Facility,1,NA,2,Government/Occupier,NA,NA,No,NA,NA,Pashtun,Pashtuns,0.65,-9999,-9999,1,,Occupier Military,No,Yes,Government,Hearts and Minds,NA,,
4,1174,AF-W-00971,200699469,Unverified,7/26/2006 0:00,2006,7,3,4,WITS,Afghanistan,Afghanistan,Balkh,Chahar Bolak,Char Bolagh,36.77,66.7,0,Other,0,Unknown Group,NA,1,Security,Police,Afghan,Checkpoint,Checkpoint,0,Armed Assault,DF,,NA,NA,0,0,0,0,0,NA,NA,0,NA,NA,"On 26 July 2006, in Char Bolagh, Balkh, Afghanistan, armed assailants fired upon a highway police security checkpoint, wounding one police officer and damaging the checkpoint.  No group claimed responsibility.",,Afghan Taliban,-9999,,Attributed,NA,Checkpoint,1,NA,2,Local/Proxy,NA,NA,No,NA,NA,Pashtun,Pashtuns,0.65,-9999,-9999,1,,Police,No,Yes,Government,Hearts and Minds,NA,,
5,1175,AF-W-01580,200704999,Unverified,5/4/2007 0:00,2007,5,2,6,WITS,Afghanistan,Afghanistan,Balkh,Chahar Bolak,Char Bolagh,36.77,66.7,0,Other,0,Unknown Group,NA,1,Political,Domestic,Afghan,Leader,Home,0,Projectile,IDF,,District Chief,No,0,0,0,0,0,NA,NA,0,NA,NA,"On 4 May 2007, in the evening, in Char Bolagh, Balkh, Afghanistan, assailants launched a grenade into the home of Char Bolagh's District Chief, causing unspecified damage to the house but no injuries.",,Afghan Taliban,-9999,,Attributed,NA,Home,1,NA,2,NA,NA,NA,No,NA,Local,Pashtun,Pashtuns,0.65,-9999,-9999,1,,Local Political,No,Yes,Government,Hearts and Minds,Individuals,,
6,1176,AF-W-01698,200706815,Unverified,6/6/2007 0:00,2007,6,2,4,WITS,Afghanistan,Afghanistan,Balkh,Chahar Bolak,Char Bolagh,36.77,66.7,0,Other,0,Unknown Group,NA,1,Security,Police,Afghan,Checkpoint,Checkpoint,0,Projectile,IDF,,NA,NA,0,0,0,0,0,NA,NA,0,NA,NA,"On 6 June 2007, at midnight, in Temorak, Char Bolagh, Balkh, Afghanistan, armed assailants fired a rocket at a police highway post, injuring three officers.   No group claimed responsibility.",,Afghan Taliban,-9999,,Attributed,NA,Checkpoint,1,NA,2,Local/Proxy,NA,NA,No,NA,NA,Pashtun,Pashtuns,0.65,-9999,-9999,1,,Police,No,Yes,Government,Hearts and Minds,NA,,
7,1177,AF-W-01893,200709499,Unverified,7/22/2007 0:00,2007,7,3,1,WITS,Afghanistan,Afghanistan,Balkh,Chahar Bolak,Char Bolagh,36.77,66.7,0,Other,0,Unknown Group,NA,1,Security,Police,Afghan,Patrol,Patrol,1,Armed Assault,DF,,NA,NA,0,0,2,2,0,NA,NA,0,NA,NA,"On 22 July 2007, in Char Bolagh, Balkh, Afghanistan, on the Mazar to Shibarghan highway, armed assailants ambushed and fired upon a police vehicle, killing two officers, injuring three others, and damaging the vehicle.  No group claimed responsibility.",,Afghan Taliban,-9999,,Attributed,NA,Patrol/Convoy,1,NA,2,Local/Proxy,NA,NA,No,NA,NA,Pashtun,Pashtuns,0.65,-9999,-9999,1,,Police,No,Yes,Government,Hearts and Minds,NA,,
8,1178,AF-W-02468,200802468,Unverified,3/17/2008 0:00,2008,3,1,2,WITS,Afghanistan,Afghanistan,Balkh,Chahar Bolak,Char Bolagh,36.77,66.7,0,Other,1,Taliban (IEA),Afghan Taliban,1,Political,NGO,Foreign,Vehicle,Vehicle,1,Armed Assault,DF,,NA,NA,0,1,0,1,0,NA,NA,0,NA,NA,"On 17 March 2008, in Char Bolagh, Balkh, Afghanistan, armed assailants fired upon a vehicle belonging to the non-governmental organization (NGO) ZAWA, killing an NGO worker and damaging the vehicle.  The Taliban claimed responsibility.",,Afghan Taliban,-9999,,Claimed,NA,Vehicle,1,NA,2,NA,NA,NA,No,NA,NGO,Pashtun,Pashtuns,0.65,-9999,-9999,1,,NGOs,No,Yes,Government,Hearts and Minds,NA,,
9,1179,AF-W-03045,200809327,Unverified,8/31/2008 0:00,2008,8,3,1,WITS,Afghanistan,Afghanistan,Balkh,Chahar Bolak,Char Bolagh,36.77,66.7,0,Other,0,Unknown Group,NA,1,Political,Tribal,Afghan,Leader,Unspecified,0,Armed Assault,DF,,Tribal Elder,Yes,0,1,0,1,0,NA,NA,0,NA,NA,"On 31 August 2008, in Char Bolagh, Balkh, Afghanistan, assailants fired upon and killed a tribal elder.  No group claimed responsibility.",,Afghan Taliban,-9999,,Attributed,NA,Open,1,NA,2,NA,NA,NA,No,NA,Local,Pashtun,Pashtuns,0.65,-9999,-9999,1,,Local Political,No,Yes,Government,Hearts and Minds,Individuals,,
10,1183,AF-W-03197,200813502,Unverified,10/14/2008 0:00,2008,10,4,3,WITS,Afghanistan,Afghanistan,Balkh,Chahar Bolak,Char Bolagh,36.77,66.7,0,Other,0,Unknown Group,NA,1,Political,Domestic,Afghan,Leader,Unspecified,0,Armed Assault,DF,,Government Official,Yes,0,1,0,1,0,NA,NA,0,NA,NA,"On 14 October 2008, in the evening, in Char Bolagh, Balkh, Afghanistan, assailants fired upon and killed one government official.  No group claimed responsibility.",,Afghan Taliban,-9999,,Attributed,NA,Open,1,NA,2,NA,NA,NA,No,NA,National,Pashtun,Pashtuns,0.65,-9999,-9999,1,,National Political,No,Yes,Government,Hearts and Minds,NA,,
